Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Successfully loaded weights from ./TensorforcePPOAgent/
[train] Training 'TensorforcePPOAgent'
[train] Episode 160 | Steps Taken: 100 | Total Steps: Taken  15771/300000 | Total reward: -423.2395807966204
[train] Episode 161 | Steps Taken:  98 | Total Steps: Taken  15869/300000 | Total reward: -347.47603666993734
[train] Episode 162 | Steps Taken:  97 | Total Steps: Taken  15966/300000 | Total reward: -385.4280262488389
[train] Episode 163 | Steps Taken:  98 | Total Steps: Taken  16064/300000 | Total reward: -361.5948786620706
[train] Episode 164 | Steps Taken:  98 | Total Steps: Taken  16162/300000 | Total reward: -365.89227632408824
[train] Episode 165 | Steps Taken: 103 | Total Steps: Taken  16265/300000 | Total reward: -467.9650796294695
[train] Episode 166 | Steps Taken:  97 | Total Steps: Taken  16362/300000 | Total reward: -364.518929352224
[train] Episode 167 | Steps Taken:  99 | Total Steps: Taken  16461/300000 | Total reward: -385.69394818440134
[train] Episode 168 | Steps Taken:  98 | Total Steps: Taken  16559/300000 | Total reward: -394.24382386125603
[train] Episode 169 | Steps Taken:  97 | Total Steps: Taken  16656/300000 | Total reward: -387.60877441957496
[train] Episode 170 | Steps Taken:  96 | Total Steps: Taken  16752/300000 | Total reward: -379.2195028579365
[train] Episode 171 | Steps Taken:  99 | Total Steps: Taken  16851/300000 | Total reward: -354.56249921655103
[train] Episode 172 | Steps Taken:  95 | Total Steps: Taken  16946/300000 | Total reward: -375.19631726769103
[train] Episode 173 | Steps Taken: 100 | Total Steps: Taken  17046/300000 | Total reward: -383.5337359391412
[train] Episode 174 | Steps Taken:  99 | Total Steps: Taken  17145/300000 | Total reward: -376.2352587110595
[train] Episode 175 | Steps Taken: 104 | Total Steps: Taken  17249/300000 | Total reward: -411.27051242246614
[train] Episode 176 | Steps Taken:  97 | Total Steps: Taken  17346/300000 | Total reward: -367.39615995877995
[train] Episode 177 | Steps Taken:  95 | Total Steps: Taken  17441/300000 | Total reward: -384.7660424117529
[train] Episode 178 | Steps Taken: 102 | Total Steps: Taken  17543/300000 | Total reward: -423.23630547819823
[train] Episode 179 | Steps Taken: 102 | Total Steps: Taken  17645/300000 | Total reward: -409.2957223329808
[train] Episode 180 | Steps Taken:  99 | Total Steps: Taken  17744/300000 | Total reward: -354.6635681290934
[train] Episode 181 | Steps Taken:  99 | Total Steps: Taken  17843/300000 | Total reward: -356.0677037010793
[train] Episode 182 | Steps Taken: 100 | Total Steps: Taken  17943/300000 | Total reward: -394.5926769721983
[train] Episode 183 | Steps Taken: 103 | Total Steps: Taken  18046/300000 | Total reward: -381.96476920494746
[train] Episode 184 | Steps Taken: 100 | Total Steps: Taken  18146/300000 | Total reward: -406.281952942081
[train] Episode 185 | Steps Taken:  96 | Total Steps: Taken  18242/300000 | Total reward: -349.8027033371421
[train] Episode 186 | Steps Taken:  99 | Total Steps: Taken  18341/300000 | Total reward: -391.2107004516161
[train] Episode 187 | Steps Taken:  96 | Total Steps: Taken  18437/300000 | Total reward: -329.0553682907
[train] Episode 188 | Steps Taken:  96 | Total Steps: Taken  18533/300000 | Total reward: -355.0064896751689
[train] Episode 189 | Steps Taken:  97 | Total Steps: Taken  18630/300000 | Total reward: -368.4126296076912
[train] Episode 190 | Steps Taken:  99 | Total Steps: Taken  18729/300000 | Total reward: -401.2980449084252
[train] Episode 191 | Steps Taken:  98 | Total Steps: Taken  18827/300000 | Total reward: -414.2580002498378
[train] Episode 192 | Steps Taken:  96 | Total Steps: Taken  18923/300000 | Total reward: -377.3345025975366
[train] Episode 193 | Steps Taken:  98 | Total Steps: Taken  19021/300000 | Total reward: -400.34541954482296
[train] Episode 194 | Steps Taken: 101 | Total Steps: Taken  19122/300000 | Total reward: -409.8395990648617
[train] Episode 195 | Steps Taken:  97 | Total Steps: Taken  19219/300000 | Total reward: -376.6295037569364
[train] Episode 196 | Steps Taken: 104 | Total Steps: Taken  19323/300000 | Total reward: -469.52327812642085
[train] Episode 197 | Steps Taken:  97 | Total Steps: Taken  19420/300000 | Total reward: -383.95061156218867
[train] Episode 198 | Steps Taken: 101 | Total Steps: Taken  19521/300000 | Total reward: -393.82917903826694
[train] Episode 199 | Steps Taken:  97 | Total Steps: Taken  19618/300000 | Total reward: -370.5208041397723
[train] Episode 200 | Steps Taken:  99 | Total Steps: Taken  19717/300000 | Total reward: -366.893470558402
[train] Episode 201 | Steps Taken:  95 | Total Steps: Taken  19812/300000 | Total reward: -367.946211700966
[train] Episode 202 | Steps Taken:  99 | Total Steps: Taken  19911/300000 | Total reward: -382.80497238756215
[train] Episode 203 | Steps Taken: 100 | Total Steps: Taken  20011/300000 | Total reward: -407.64341677733944
[train] Episode 204 | Steps Taken: 101 | Total Steps: Taken  20112/300000 | Total reward: -412.1294904269231
[train] Episode 205 | Steps Taken:  96 | Total Steps: Taken  20208/300000 | Total reward: -335.9633312274769
[train] Episode 206 | Steps Taken: 100 | Total Steps: Taken  20308/300000 | Total reward: -400.36949711925274
[train] Episode 207 | Steps Taken:  98 | Total Steps: Taken  20406/300000 | Total reward: -381.96853085124917
[train] Episode 208 | Steps Taken: 100 | Total Steps: Taken  20506/300000 | Total reward: -410.3814592927912
[train] Episode 209 | Steps Taken: 100 | Total Steps: Taken  20606/300000 | Total reward: -383.9842579809337
[train] Episode 210 | Steps Taken: 102 | Total Steps: Taken  20708/300000 | Total reward: -338.04565546662167
[train] Episode 211 | Steps Taken:  98 | Total Steps: Taken  20806/300000 | Total reward: -375.4897431928616
[train] Episode 212 | Steps Taken: 101 | Total Steps: Taken  20907/300000 | Total reward: -391.0505988552844
[train] Episode 213 | Steps Taken:  97 | Total Steps: Taken  21004/300000 | Total reward: -339.93729177225595
[train] Episode 214 | Steps Taken: 100 | Total Steps: Taken  21104/300000 | Total reward: -380.0000656378236
[train] Episode 215 | Steps Taken:  97 | Total Steps: Taken  21201/300000 | Total reward: -385.3078738449927
[train] Episode 216 | Steps Taken:  98 | Total Steps: Taken  21299/300000 | Total reward: -404.93118162728786
[train] Episode 217 | Steps Taken:  98 | Total Steps: Taken  21397/300000 | Total reward: -391.3543532004692
[train] Episode 218 | Steps Taken:  97 | Total Steps: Taken  21494/300000 | Total reward: -354.84115447023606
[train] Episode 219 | Steps Taken:  96 | Total Steps: Taken  21590/300000 | Total reward: -328.00794381422213
[train] Episode 220 | Steps Taken:  98 | Total Steps: Taken  21688/300000 | Total reward: -346.0891850062002
[train] Episode 221 | Steps Taken: 101 | Total Steps: Taken  21789/300000 | Total reward: -401.48405110719403
[train] Episode 222 | Steps Taken:  96 | Total Steps: Taken  21885/300000 | Total reward: -370.12925003038697
[train] Episode 223 | Steps Taken:  98 | Total Steps: Taken  21983/300000 | Total reward: -379.13275376993016
[train] Episode 224 | Steps Taken:  96 | Total Steps: Taken  22079/300000 | Total reward: -379.7683699964671
[train] Episode 225 | Steps Taken: 102 | Total Steps: Taken  22181/300000 | Total reward: -395.8034534834794
[train] Episode 226 | Steps Taken:  98 | Total Steps: Taken  22279/300000 | Total reward: -424.9797887561379
[train] Episode 227 | Steps Taken:  98 | Total Steps: Taken  22377/300000 | Total reward: -366.7714695032668
[train] Episode 228 | Steps Taken: 100 | Total Steps: Taken  22477/300000 | Total reward: -395.81432367680947
[train] Episode 229 | Steps Taken:  95 | Total Steps: Taken  22572/300000 | Total reward: -378.13402761494973
[train] Episode 230 | Steps Taken:  97 | Total Steps: Taken  22669/300000 | Total reward: -377.4873850452453
[train] Episode 231 | Steps Taken: 100 | Total Steps: Taken  22769/300000 | Total reward: -395.05146869988494
