Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode 164 | Steps Taken:  98 | Total Steps: Taken  16125/1000000 | Total reward: -492.2480991985981
[train] Episode 165 | Steps Taken:  97 | Total Steps: Taken  16222/1000000 | Total reward: -469.44718664442945
[train] Episode 166 | Steps Taken:  97 | Total Steps: Taken  16319/1000000 | Total reward: -469.6393994459556
[train] Episode 167 | Steps Taken: 102 | Total Steps: Taken  16421/1000000 | Total reward: -576.8327813214776
[train] Episode 168 | Steps Taken:  98 | Total Steps: Taken  16519/1000000 | Total reward: -492.7861173647506
[train] Episode 169 | Steps Taken:  99 | Total Steps: Taken  16618/1000000 | Total reward: -524.1887863365736
[train] Episode 170 | Steps Taken:  98 | Total Steps: Taken  16716/1000000 | Total reward: -495.1459824340903
[train] Episode 171 | Steps Taken:  98 | Total Steps: Taken  16814/1000000 | Total reward: -492.03332602949575
[train] Episode 172 | Steps Taken:  98 | Total Steps: Taken  16912/1000000 | Total reward: -512.1412406471967
[train] Episode 173 | Steps Taken: 100 | Total Steps: Taken  17012/1000000 | Total reward: -557.2849222987746
[train] Episode 174 | Steps Taken:  98 | Total Steps: Taken  17110/1000000 | Total reward: -490.17244668461825
[train] Episode 175 | Steps Taken:  96 | Total Steps: Taken  17206/1000000 | Total reward: -456.4664802003633
[train] Episode 176 | Steps Taken:  98 | Total Steps: Taken  17304/1000000 | Total reward: -516.2661266581783
[train] Episode 177 | Steps Taken: 100 | Total Steps: Taken  17404/1000000 | Total reward: -545.9970139534871
[train] Episode 178 | Steps Taken: 103 | Total Steps: Taken  17507/1000000 | Total reward: -561.4163275603419
[train] Episode 179 | Steps Taken:  99 | Total Steps: Taken  17606/1000000 | Total reward: -506.2063334784856
[train] Episode 180 | Steps Taken:  98 | Total Steps: Taken  17704/1000000 | Total reward: -493.0056274693431
[train] Episode 181 | Steps Taken:  96 | Total Steps: Taken  17800/1000000 | Total reward: -468.77681298016427
[train] Episode 182 | Steps Taken:  99 | Total Steps: Taken  17899/1000000 | Total reward: -511.26339871394174
[train] Episode 183 | Steps Taken:  97 | Total Steps: Taken  17996/1000000 | Total reward: -475.2477795407363
[train] Episode 184 | Steps Taken:  99 | Total Steps: Taken  18095/1000000 | Total reward: -518.4633887857773
[train] Episode 185 | Steps Taken: 101 | Total Steps: Taken  18196/1000000 | Total reward: -577.3990525941356
[train] Episode 186 | Steps Taken: 100 | Total Steps: Taken  18296/1000000 | Total reward: -533.3576102534197
[train] Episode 187 | Steps Taken:  98 | Total Steps: Taken  18394/1000000 | Total reward: -488.12417007518366
[train] Episode 188 | Steps Taken:  98 | Total Steps: Taken  18492/1000000 | Total reward: -497.8047849563111
[train] Episode 189 | Steps Taken: 101 | Total Steps: Taken  18593/1000000 | Total reward: -543.6957820693895
[train] Episode 190 | Steps Taken:  97 | Total Steps: Taken  18690/1000000 | Total reward: -469.18795374380767
[train] Episode 191 | Steps Taken: 100 | Total Steps: Taken  18790/1000000 | Total reward: -537.8754879147799
[train] Episode 192 | Steps Taken:  99 | Total Steps: Taken  18889/1000000 | Total reward: -551.4156137003234
[train] Episode 193 | Steps Taken:  99 | Total Steps: Taken  18988/1000000 | Total reward: -541.0564841988689
[train] Episode 194 | Steps Taken:  99 | Total Steps: Taken  19087/1000000 | Total reward: -521.87548903311
[train] Episode 195 | Steps Taken:  98 | Total Steps: Taken  19185/1000000 | Total reward: -504.68514139631355
[train] Episode 196 | Steps Taken:  98 | Total Steps: Taken  19283/1000000 | Total reward: -510.2336465900608
[train] Episode 197 | Steps Taken: 101 | Total Steps: Taken  19384/1000000 | Total reward: -577.9680154978921
[train] Episode 198 | Steps Taken:  98 | Total Steps: Taken  19482/1000000 | Total reward: -518.463981156752
[train] Episode 199 | Steps Taken: 100 | Total Steps: Taken  19582/1000000 | Total reward: -541.9645526355998
[train] Episode 200 | Steps Taken: 100 | Total Steps: Taken  19682/1000000 | Total reward: -534.4437329291711
[train] Episode 201 | Steps Taken:  97 | Total Steps: Taken  19779/1000000 | Total reward: -465.2711991836293
[train] Episode 202 | Steps Taken:  99 | Total Steps: Taken  19878/1000000 | Total reward: -497.5417943479862
[train] Episode 203 | Steps Taken: 101 | Total Steps: Taken  19979/1000000 | Total reward: -577.71744111156
[train] Episode 204 | Steps Taken:  98 | Total Steps: Taken  20077/1000000 | Total reward: -482.8381308455913
[train] Episode 205 | Steps Taken:  97 | Total Steps: Taken  20174/1000000 | Total reward: -474.626284787884
[train] Episode 206 | Steps Taken: 101 | Total Steps: Taken  20275/1000000 | Total reward: -547.145782442398
[train] Episode 207 | Steps Taken:  98 | Total Steps: Taken  20373/1000000 | Total reward: -491.30231102975495
[train] Episode 208 | Steps Taken:  98 | Total Steps: Taken  20471/1000000 | Total reward: -488.64780455873336
[train] Episode 209 | Steps Taken:  98 | Total Steps: Taken  20569/1000000 | Total reward: -494.75322063191527
[train] Episode 210 | Steps Taken:  98 | Total Steps: Taken  20667/1000000 | Total reward: -478.93758354622383
[train] Episode 211 | Steps Taken:  97 | Total Steps: Taken  20764/1000000 | Total reward: -469.1049015697959
[train] Episode 212 | Steps Taken:  98 | Total Steps: Taken  20862/1000000 | Total reward: -478.35475836976656
[train] Episode 213 | Steps Taken: 100 | Total Steps: Taken  20962/1000000 | Total reward: -519.8092794069194
[train] Episode 214 | Steps Taken:  97 | Total Steps: Taken  21059/1000000 | Total reward: -467.0075356943949
[train] Episode 215 | Steps Taken:  98 | Total Steps: Taken  21157/1000000 | Total reward: -480.0883882832525
[train] Episode 216 | Steps Taken:  98 | Total Steps: Taken  21255/1000000 | Total reward: -475.87190829644646
[train] Episode 217 | Steps Taken:  98 | Total Steps: Taken  21353/1000000 | Total reward: -482.9773236408156
[train] Episode 218 | Steps Taken:  99 | Total Steps: Taken  21452/1000000 | Total reward: -550.282105925338
[train] Episode 219 | Steps Taken: 101 | Total Steps: Taken  21553/1000000 | Total reward: -570.4322751021349
[train] Episode 220 | Steps Taken:  97 | Total Steps: Taken  21650/1000000 | Total reward: -469.246808975117
[train] Episode 221 | Steps Taken: 100 | Total Steps: Taken  21750/1000000 | Total reward: -565.0359467130827
[train] Episode 222 | Steps Taken:  98 | Total Steps: Taken  21848/1000000 | Total reward: -501.1375601076198
[train] Episode 223 | Steps Taken:  98 | Total Steps: Taken  21946/1000000 | Total reward: -496.3894603229311
[train] Episode 224 | Steps Taken:  99 | Total Steps: Taken  22045/1000000 | Total reward: -510.90751573921864
[train] Episode 225 | Steps Taken:  97 | Total Steps: Taken  22142/1000000 | Total reward: -468.0501249939759
[train] Episode 226 | Steps Taken:  97 | Total Steps: Taken  22239/1000000 | Total reward: -477.2268594106184
